#  E (eV)   dos(E)     Int dos(E)
-25.462  0.3123E-81  0.2000E+01
-25.461  0.3123E-81  0.2000E+01
-25.461  0.3123E-81  0.2000E+01
-25.460  0.3123E-81  0.2000E+01
-25.460  0.3123E-81  0.2000E+01
-25.459  0.3123E-81  0.2000E+01
-25.459  0.3123E-81  0.2000E+01
-25.458  0.3123E-81  0.2000E+01
-25.458  0.3123E-81  0.2000E+01
-25.457  0.3123E-81  0.2000E+01
-25.457  0.3123E-81  0.2000E+01
-25.456  0.3123E-81  0.2000E+01
-25.456  0.3123E-81  0.2000E+01
-25.455  0.3123E-81  0.2000E+01
-25.455  0.3123E-81  0.2000E+01
-25.454  0.3123E-81  0.2000E+01
-25.454  0.3123E-81  0.2000E+01
-25.453  0.3123E-81  0.2000E+01
-25.453  0.3123E-81  0.2000E+01
-25.452  0.3123E-81  0.2000E+01
-25.452  0.3123E-81  0.2000E+01
-25.451  0.3123E-81  0.2000E+01
-25.451  0.3123E-81  0.2000E+01
-25.450  0.3123E-81  0.2000E+01
-25.450  0.3123E-81  0.2000E+01
-25.449  0.3123E-81  0.2000E+01
-25.449  0.3123E-81  0.2000E+01
-25.448  0.3123E-81  0.2000E+01
-25.448  0.3123E-81  0.2000E+01
-25.447  0.3123E-81  0.2000E+01
-25.447  0.3123E-81  0.2000E+01
-25.446  0.3123E-81  0.2000E+01
-25.446  0.3123E-81  0.2000E+01
-25.445  0.3123E-81  0.2000E+01
-25.445  0.3123E-81  0.2000E+01
-25.444  0.3123E-81  0.2000E+01
-25.444  0.3123E-81  0.2000E+01
-25.443  0.3123E-81  0.2000E+01
-25.443  0.3123E-81  0.2000E+01
-25.442  0.3123E-81  0.2000E+01
-25.442  0.3123E-81  0.2000E+01
-25.441  0.3123E-81  0.2000E+01
-25.441  0.3123E-81  0.2000E+01
-25.440  0.3123E-81  0.2000E+01
-25.440  0.3123E-81  0.2000E+01
-25.439  0.3123E-81  0.2000E+01
-25.439  0.3123E-81  0.2000E+01
-25.438  0.3123E-81  0.2000E+01
-25.438  0.3123E-81  0.2000E+01
-25.437  0.3123E-81  0.2000E+01
-25.437  0.3123E-81  0.2000E+01
-25.436  0.3123E-81  0.2000E+01
-25.436  0.3123E-81  0.2000E+01
-25.435  0.3123E-81  0.2000E+01
-25.435  0.3123E-81  0.2000E+01
-25.434  0.3123E-81  0.2000E+01
-25.434  0.3123E-81  0.2000E+01
-25.433  0.3123E-81  0.2000E+01
-25.433  0.3123E-81  0.2000E+01
-25.432  0.3123E-81  0.2000E+01
-25.432  0.3123E-81  0.2000E+01
-25.431  0.3123E-81  0.2000E+01
-25.431  0.3123E-81  0.2000E+01
-25.430  0.3123E-81  0.2000E+01
-25.430  0.3123E-81  0.2000E+01
-25.429  0.3123E-81  0.2000E+01
-25.429  0.3123E-81  0.2000E+01
-25.428  0.3123E-81  0.2000E+01
-25.428  0.3123E-81  0.2000E+01
-25.427  0.3123E-81  0.2000E+01
-25.427  0.3123E-81  0.2000E+01
-25.426  0.3123E-81  0.2000E+01
-25.426  0.3123E-81  0.2000E+01
-25.425  0.3123E-81  0.2000E+01
-25.425  0.3123E-81  0.2000E+01
-25.424  0.3123E-81  0.2000E+01
-25.424  0.3123E-81  0.2000E+01
-25.423  0.3123E-81  0.2000E+01
-25.423  0.3123E-81  0.2000E+01
-25.422  0.3123E-81  0.2000E+01
-25.422  0.3123E-81  0.2000E+01
-25.421  0.3123E-81  0.2000E+01
-25.421  0.3123E-81  0.2000E+01
-25.420  0.3123E-81  0.2000E+01
-25.420  0.3123E-81  0.2000E+01
-25.419  0.3123E-81  0.2000E+01
-25.419  0.3123E-81  0.2000E+01
-25.418  0.3123E-81  0.2000E+01
-25.418  0.3123E-81  0.2000E+01
-25.417  0.3123E-81  0.2000E+01
-25.417  0.3123E-81  0.2000E+01
-25.416  0.3123E-81  0.2000E+01
-25.416  0.3123E-81  0.2000E+01
-25.415  0.3123E-81  0.2000E+01
-25.415  0.3123E-81  0.2000E+01
-25.414  0.3123E-81  0.2000E+01
-25.414  0.3123E-81  0.2000E+01
-25.413  0.3123E-81  0.2000E+01
-25.413  0.3123E-81  0.2000E+01
-25.412  0.3123E-81  0.2000E+01
-25.412  0.3123E-81  0.2000E+01
-25.411  0.3123E-81  0.2000E+01
-25.411  0.3123E-81  0.2000E+01
-25.410  0.3123E-81  0.2000E+01
-25.410  0.3123E-81  0.2000E+01
-25.409  0.3123E-81  0.2000E+01
-25.409  0.3123E-81  0.2000E+01
-25.408  0.3123E-81  0.2000E+01
-25.408  0.3123E-81  0.2000E+01
-25.407  0.3123E-81  0.2000E+01
-25.407  0.3123E-81  0.2000E+01
-25.406  0.3123E-81  0.2000E+01
-25.406  0.3123E-81  0.2000E+01
-25.405  0.3123E-81  0.2000E+01
-25.405  0.3123E-81  0.2000E+01
-25.404  0.3123E-81  0.2000E+01
-25.404  0.3123E-81  0.2000E+01
-25.403  0.3123E-81  0.2000E+01
-25.403  0.3123E-81  0.2000E+01
-25.402  0.3123E-81  0.2000E+01
-25.402  0.3123E-81  0.2000E+01
-25.401  0.3123E-81  0.2000E+01
-25.401  0.3123E-81  0.2000E+01
-25.400  0.3123E-81  0.2000E+01
-25.400  0.3123E-81  0.2000E+01
-25.399  0.3123E-81  0.2000E+01
-25.399  0.3123E-81  0.2000E+01
-25.398  0.3123E-81  0.2000E+01
-25.398  0.3123E-81  0.2000E+01
-25.397  0.3123E-81  0.2000E+01
-25.397  0.3123E-81  0.2000E+01
-25.396  0.3123E-81  0.2000E+01
-25.396  0.3123E-81  0.2000E+01
-25.395  0.3123E-81  0.2000E+01
-25.395  0.3123E-81  0.2000E+01
-25.394  0.3123E-81  0.2000E+01
-25.394  0.3123E-81  0.2000E+01
-25.393  0.3123E-81  0.2000E+01
-25.393  0.3123E-81  0.2000E+01
-25.392  0.3123E-81  0.2000E+01
-25.392  0.3123E-81  0.2000E+01
-25.391  0.3123E-81  0.2000E+01
-25.391  0.3123E-81  0.2000E+01
-25.390  0.3123E-81  0.2000E+01
-25.390  0.3123E-81  0.2000E+01
-25.389  0.3123E-81  0.2000E+01
-25.389  0.3123E-81  0.2000E+01
-25.388  0.3123E-81  0.2000E+01
-25.388  0.3123E-81  0.2000E+01
-25.387  0.3123E-81  0.2000E+01
-25.387  0.3123E-81  0.2000E+01
-25.386  0.3123E-81  0.2000E+01
-25.386  0.3123E-81  0.2000E+01
-25.385  0.3123E-81  0.2000E+01
-25.385  0.3123E-81  0.2000E+01
-25.384  0.3123E-81  0.2000E+01
-25.384  0.3123E-81  0.2000E+01
-25.383  0.3123E-81  0.2000E+01
-25.383  0.3123E-81  0.2000E+01
-25.382  0.3123E-81  0.2000E+01
-25.382  0.3123E-81  0.2000E+01
-25.381  0.3123E-81  0.2000E+01
-25.381  0.3123E-81  0.2000E+01
-25.380  0.3123E-81  0.2000E+01
-25.380  0.3123E-81  0.2000E+01
-25.379  0.3123E-81  0.2000E+01
-25.379  0.3123E-81  0.2000E+01
-25.378  0.3123E-81  0.2000E+01
-25.378  0.3123E-81  0.2000E+01
-25.377  0.3123E-81  0.2000E+01
-25.377  0.3123E-81  0.2000E+01
-25.376  0.3123E-81  0.2000E+01
-25.376  0.3123E-81  0.2000E+01
-25.375  0.3123E-81  0.2000E+01
-25.375  0.3123E-81  0.2000E+01
-25.374  0.3123E-81  0.2000E+01
-25.374  0.3123E-81  0.2000E+01
-25.373  0.3123E-81  0.2000E+01
-25.373  0.3123E-81  0.2000E+01
-25.372  0.3123E-81  0.2000E+01
-25.372  0.3123E-81  0.2000E+01
-25.371  0.3123E-81  0.2000E+01
-25.371  0.3123E-81  0.2000E+01
-25.370  0.3123E-81  0.2000E+01
-25.370  0.3123E-81  0.2000E+01
-25.369  0.3123E-81  0.2000E+01
-25.369  0.3123E-81  0.2000E+01
-25.368  0.3123E-81  0.2000E+01
-25.368  0.3123E-81  0.2000E+01
-25.367  0.3123E-81  0.2000E+01
-25.367  0.3123E-81  0.2000E+01
-25.366  0.3123E-81  0.2000E+01
-25.366  0.3123E-81  0.2000E+01
-25.365  0.3123E-81  0.2000E+01
-25.365  0.3123E-81  0.2000E+01
-25.364  0.3123E-81  0.2000E+01
-25.364  0.3123E-81  0.2000E+01
-25.363  0.3123E-81  0.2000E+01
-25.363  0.3123E-81  0.2000E+01
-25.362  0.3123E-81  0.2000E+01
